Name,Slug,Description,Address,City,State,Zip,Phone,Website URL,Google Maps URL,Photo URL,Hours,Services,Specialties,Type,Price Range,Rating,Review Count,Status,Featured,Date Added,Latitude,Longitude
Yorkshire and schnauzer puppies All 4 Pets Ruidoso Nm,yorkshire-and-schnauzer-puppies-all-4-pets-ruidoso-nm-ruidoso-nm,"{""From the business"": {""Small business"": true}, ""Service options"": {""Delivery"": false}, ""Accessibility"": {""Wheelchair accessible parking lot"": true}}",1301 Mechem Dr #2,Ruidoso,New Mexico,88345,(575) 630-0034,http://www.kelleyscritters.com/,"https://www.google.com/maps/place/Yorkshire+and+schnauzer+puppies+All+4+Pets+Ruidoso+Nm/@33.3739205,-105.67175739999999,14z/data=!4m8!1m2!2m1!1sYorkshire+and+schnauzer+puppies+All+4+Pets+Ruidoso+Nm!3m4!1s0x86e1d14d3b0724ff:0x28428b214807b329!8m2!3d33.3739205!4d-105.67175739999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAweo6mM1m_WavHboVfknqT7DiTeTqDySYUIsbKjDXNI3QDHMqddJyo9jXnNSiEpsY0gLhK7bxNR3HIwulv-MsOdIqnxJb66f_LB79YI3PVrljHTQ5oUwFXb-8377Z1prlbQDqtA2-V08BCZY=w800-h500-k-no,"Sunday: Closed, Monday: Closed, Tuesday: 9:30AM–3:30PM, Wednesday: 9:30AM–3:30PM, Thursday: 9:30AM–3:30AM, Friday: Closed, Saturday: Closed",,Small Breeds,Pet Store with Grooming,,5.0,6.0,Active,False,2026-04-01,33.3739205,-105.6717574
Groomer at Home,groomer-at-home-north-bergen-nj,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Language assistance"": ""English, Spanish""}, ""Other"": {""Identifies as women-owned"": true}}",1122 53rd St,North Bergen,New Jersey,7047,(347) 938-0857,http://www.groomerathome.com/,"https://www.google.com/maps/place/Groomer+at+Home/@40.7859311,-74.0241223,14z/data=!4m8!1m2!2m1!1sGroomer+at+Home!3m4!1s0x89c259e6288d06f1:0x1d96a485ae5645f6!8m2!3d40.7859311!4d-74.0241223",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepa-00E7eNfNbkeA28hSofDTsC198g4-2z0RJaxQBaYT1dxg_TIaxS5MaoDWyM58sULQTjacUoB2EZRmLeFI05l7tkSdDYWPUeLHbCKAn-PSRr7YMd_c5jTUmTJ4mGbpM6V4vim=w800-h500-k-no,"Sunday: Closed, Monday: 7AM–3PM, Tuesday: 7AM–3PM, Wednesday: 7AM–3PM, Thursday: 7AM–3PM, Friday: 7AM–2PM, Saturday: Closed",Cat Grooming,Cat Grooming,Full-Service Salon,,4.9,80.0,Active,False,2026-04-01,40.7859311,-74.0241223
Furry Land Albuquerque-Santa Fe,furry-land-albuquerque-santa-fe-albuquerque-nm,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""Identifies as women-owned"": true}}",4801 Lang Ave NE UNIT 110,Albuquerque,New Mexico,87109,(505) 807-7009,https://furryland.us/locations/albuquerque-santa-fe-mobile-pet-groomers/,"https://www.google.com/maps/place/Furry+Land+Albuquerque-Santa+Fe/@35.173853099999995,-106.5914225,14z/data=!4m8!1m2!2m1!1sFurry+Land+Albuquerque-Santa+Fe!3m4!1s0x897a5bbac599cc41:0xe2de3fd4bb264eaa!8m2!3d35.173853099999995!4d-106.5914225",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqB92hKKk3Lya28BBGmFrP6x_1RVVWUTLMNBXTFYROLqShsMX86d-UzAlbAFD7y_yDXVwX4mGj9tJ2rGNh9zJGbeGTsZz6v7qL9zwv6s-3WXWeW5CJOH-KfcAdz7p1KDeZXDOg=w800-h500-k-no,Daily: Open 24 hours,Cat Grooming,Mobile Grooming,Mobile Grooming,,4.8,314.0,Active,False,2026-04-01,35.1738531,-106.5914225
Desert Dogz Day Spa LLC,desert-dogz-day-spa-llc-albuquerque-nm,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",909 Av. Dolores Huerta,Albuquerque,New Mexico,87105,(505) 620-9033,https://free---appointments-105504.square.site/,"https://www.google.com/maps/place/Desert+Dogz+Day+Spa+LLC/@35.068705699999995,-106.66654869999999,14z/data=!4m8!1m2!2m1!1sDesert+Dogz+Day+Spa+LLC!3m4!1s0x87220d558a40096f:0x13abfba1dd7b852c!8m2!3d35.068705699999995!4d-106.66654869999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAweon8m1f0eQ03J41k3M-ANLZfq2v9HX_I7YU3I8yGqnrXdERME4sgdyxBww1YFgtYzfIhD0Emel8MaZgDvDd_AYt2O-I7lcMZrGcMoI5_gPnoQJaIW-WDQXSeD1n2gNtvPro8r4f6cbH5XM=w800-h500-k-no,,,,Full-Service Salon,,4.9,45.0,Active,False,2026-04-01,35.0687057,-106.6665487
Scruffy To Fluffy Grooming LLC,scruffy-to-fluffy-grooming-llc-albuquerque-nm,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Parking"": {""Free parking lot"": true, ""On-site parking"": true}}",5639 Paradise Blvd NW,Albuquerque,New Mexico,87114,(505) 715-7664,https://www.facebook.com/people/Scruffy-To-Fluffy-Grooming/61551226355457/,"https://www.google.com/maps/place/Scruffy+To+Fluffy+Grooming+LLC/@35.197693199999996,-106.70618789999999,14z/data=!4m8!1m2!2m1!1sScruffy+To+Fluffy+Grooming+LLC!3m4!1s0x8722717e7cf7af13:0x4784ea8318e8d095!8m2!3d35.197693199999996!4d-106.70618789999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAwervFV_AMMjM0kFW32XaTgKIyOcPVrbNa5KsfP5SZdq325K1p6-ggVq1RNA0CcK3N7FNnab4GzvrNVKWonjH8DK4FqU8dCLJHt5193_QpLd5k13T9rVhmm2o2nGNQTCE8HIGdPhw0Y9Z0SU=w800-h500-k-no,"Sunday: 8AM–2PM, Monday: 8AM–4PM, Tuesday: 8AM–4PM, Wednesday: 8AM–4PM, Thursday: 8AM–4PM, Friday: 8AM–4PM, Saturday: 8AM–2PM",,,Full-Service Salon,,4.9,60.0,Active,False,2026-04-01,35.1976932,-106.7061879
Mad Dawgz Mobile Grooming,mad-dawgz-mobile-grooming-albuquerque-nm,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}",810 Concord Pl SW,Albuquerque,New Mexico,87105,(505) 437-8355,https://localcatfoods.net/explore/mad-dawgz-mobile-grooming/,"https://www.google.com/maps/place/Mad+Dawgz+Mobile+Grooming/@35.0657317,-106.6645698,14z/data=!4m8!1m2!2m1!1sMad+Dawgz+Mobile+Grooming!3m4!1s0xa9a2252a3b20cc03:0x644a26e9caed5495!8m2!3d35.0657317!4d-106.6645698",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepBZb8ZcTk1B8qcz8wBBBfJYB27tRxbtqtkNuh9hSi0i-TrrTATeg4pNYFzKGUO0AOq0gWDTP03DwOwQyaanpuQ1lTpBHrrKZx8dlrICjefCnqUsZf2txXb8ccrDTs-Watbw08E=w800-h500-k-no,"Sunday: Closed, Monday: 8AM–5PM, Tuesday: 8AM–5PM, Wednesday: 8AM–5PM, Thursday: 8AM–5PM, Friday: 8AM–5PM, Saturday: 8AM–5PM",,Mobile Grooming,Mobile Grooming,,4.7,91.0,Active,False,2026-04-01,35.0657317,-106.6645698
Alpha Pet & Dog Grooming Albuquerque,alpha-pet-dog-grooming-albuquerque-albuquerque-nm,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}",3712 Central Ave SE c,Albuquerque,New Mexico,87108,(505) 582-1552,https://alphadogpetgrooming.com/,"https://www.google.com/maps/place/Alpha+Pet+%26+Dog+Grooming+Albuquerque/@35.079298699999995,-106.6027386,14z/data=!4m8!1m2!2m1!1sAlpha+Pet+%26+Dog+Grooming+Albuquerque!3m4!1s0x87220b1375b8fd3f:0x98fa286a59aaf380!8m2!3d35.079298699999995!4d-106.6027386",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepeVZuk9kei2fnUuxEffIlpWFuawr-rqItcIytONO1N2gr_vrxcpGUHzPxwIQqBD8obTQ6EkM2XtWeTQvahzffzAz1IBMcGWFgAmmH97THLwuh1mopcEJvQpspX5kq1GQ_WJRPEAX-ABkUS=w800-h500-k-no,Daily: Open 24 hours,,,Full-Service Salon,,4.6,246.0,Active,False,2026-04-01,35.0792987,-106.6027386
ABQ Cat Grooming,abq-cat-grooming-albuquerque-nm,"{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",2217 Lead Ave SE,Albuquerque,New Mexico,87106,(505) 364-5591,https://abqcatgrooming.com/,"https://www.google.com/maps/place/ABQ+Cat+Grooming/@35.077474599999995,-106.6211866,14z/data=!4m8!1m2!2m1!1sABQ+Cat+Grooming!3m4!1s0x87220b28adb4b875:0x12a296f6e8b35a43!8m2!3d35.077474599999995!4d-106.6211866",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCst9cBP8Njwhs2db1YQda6oo506ZHPQccTTgD1wRJ3FXnVNO3leIlz_9x1e18b_EAqqzzfP_iIJbWMePeLKCxQOY9psC3uKlkioZHqTkZVgHoBSjMvDy4fg4rFLf1dMdIuuv_7w=w800-h500-k-no,"Sunday: Closed, Monday: Closed, Tuesday: Closed, Wednesday: 9AM–3PM, Thursday: 9AM–3PM, Friday: 9AM–3PM, Saturday: 10AM–3PM",Cat Grooming,Cat Grooming,Full-Service Salon,,4.7,70.0,Active,False,2026-04-01,35.0774746,-106.6211866
P.G.S Pet Grooming Salon,p-g-s-pet-grooming-salon-albuquerque-nm,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",5509 Central Ave NW B,Albuquerque,New Mexico,87105,(505) 261-9312,https://pgspetgroomingsalon.top/,"https://www.google.com/maps/place/P.G.S+Pet+Grooming+Salon/@35.0825487,-106.7002665,14z/data=!4m8!1m2!2m1!1sP.G.S+Pet+Grooming+Salon!3m4!1s0x87220d48009248b9:0x372b56e7752564aa!8m2!3d35.0825487!4d-106.7002665",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqlegSc4nO_0jKTDbmehsbSepdbRz-83ZBrQILpP19QpncNaRPP_SwCy-11swvz3NRaAZlz_YwK2SI3DscJjWlzkR2T2Kyxj9QgqJ06PFp_pPy8umjTTeAyfnaFn2LKQd08sL25=w800-h500-k-no,"Sunday: Closed, Monday: Closed, Tuesday: 9AM–5:30PM, Wednesday: 9AM–5:30PM, Thursday: 9AM–5:30PM, Friday: 9AM–5:30PM, Saturday: Closed",,,Full-Service Salon,,4.8,156.0,Active,False,2026-04-01,35.0825487,-106.7002665
The Bark Factory,the-bark-factory-albuquerque-nm,Get ready for some furry love at our dog salon! Our dynamic duo of experienced and loving Dog grooming groomers will have your pup looking and feeling fabulous in no time. Bark factory grooming,7900 Carmel Ave NE,Albuquerque,New Mexico,87122,(505) 537-7399,https://thebarkfactory.pet/,"https://www.google.com/maps/place/The+Bark+Factory/@35.176618999999995,-106.55813619999999,14z/data=!4m8!1m2!2m1!1sThe+Bark+Factory!3m4!1s0x872275beeb486867:0x3e523cc4ae1ca41d!8m2!3d35.176618999999995!4d-106.55813619999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerGNN9N35lyKwcmJEKsO--hB2Ppv_F2GvQ3fce9ujUcXjQqfsuTzVGbTzrBpbCjnwWzNCRarXE2gbOoqUUvyZKZFxYBGCz3ybnlQ70dID_DElxg9HXR47VvDbo0pyQmWRwM3IWHiQ=w800-h500-k-no,"Sunday: Closed, Monday: Closed, Tuesday: 8:30AM–4PM, Wednesday: 8:30AM–4PM, Thursday: 8:30AM–4PM, Friday: 8:30AM–4PM, Saturday: 8:30AM–4PM",,,Full-Service Salon,,4.9,94.0,Active,False,2026-04-01,35.176619,-106.5581362
Alpha Dog Grooming Albuquerque of Alamosa,alpha-dog-grooming-albuquerque-of-alamosa-albuquerque-nm,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Service options"": {""Onsite services"": true, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Other"": {""Identifies as veteran-owned"": true}}",1100 Coors Blvd SW b11,Albuquerque,New Mexico,87121,(505) 400-2878,https://alphadogpetgrooming.com/,"https://www.google.com/maps/place/Alpha+Dog+Grooming+Albuquerque+of+Alamosa/@35.064281,-106.7089508,14z/data=!4m8!1m2!2m1!1sAlpha+Dog+Grooming+Albuquerque+of+Alamosa!3m4!1s0x87220d68d21870a7:0xdb4271228a854f5!8m2!3d35.064281!4d-106.7089508",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerVDUbTloipL6u9_WvDgoyotxebrgSlJ2qwnZ5ASgwUavxTmwZ7zK-z8Uk-i6MNR7lJlw7Jl3Jw7eNjRXP4OMUGsXVlRO9HaNPNuywdFrNLwW0im50sNCmR3TwdkY0xWDkG362MM5wHn58K=w800-h500-k-no,Daily: Open 24 hours,,,Full-Service Salon,,4.3,375.0,Active,False,2026-04-01,35.064281,-106.7089508
Duke City Dog Spa and Lodge,duke-city-dog-spa-and-lodge-albuquerque-nm,"{""From the business"": {""Identifies as LGBTQ+ owned"": true, ""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": false}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Parking"": {""Free parking garage"": true, ""Free parking lot"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true, ""Identifies as LGBTQ+ owned"": true}}",2301 Yale Blvd SE Suite C6,Albuquerque,New Mexico,87106,(505) 974-8715,https://dukecitydogspaandlodge.com/,"https://www.google.com/maps/place/Duke+City+Dog+Spa+and+Lodge/@35.0562104,-106.62284609999999,14z/data=!4m8!1m2!2m1!1sDuke+City+Dog+Spa+and+Lodge!3m4!1s0x872275ab87a2f883:0xf608c340ba343a46!8m2!3d35.0562104!4d-106.62284609999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqGCdd8ht3eE7fyycSa7qtAQBhbhEFjFnwG-_Lh-a-L-byIzkWg_ojIaaWjKxqASfsoXEcPRQcHVwND2KuYU-HOvvqYcDAr24Iox3ymyJGNIqu9b2BTovuRWLcNakHVYxU2Vts=w800-h500-k-no,Daily: 7:30AM–5:30PM,,,Pet Spa,,4.8,49.0,Active,False,2026-04-01,35.0562104,-106.6228461
